id,title,slug,status,deadline,country,country_scope,raw_cover_image,created_at,url,source
fe24e995-6358-4ec2-acea-a0b5265e614f,"Case Study: From behind-the-scenes metallurgical engineer to keynote speaker, radio host, and respected mining commentator: Rachiel Bvurire scales new heights",,needs_review,,,,,,,Australia Awards
cecbb1dc-e98a-44ab-b0e3-7b7aa10e9bfe,Addis Ababa workshop empowers alumnae to elevate leadership potential and navigate career challenges,,needs_review,2026-08-06,,,,,,Australia Awards
b9a5a896-cfb4-4a3e-b490-1013183ff2c2,See what our Alumni have to say about their experience,,needs_review,,,,,,,Australia Awards
74b9ca8f-342e-4050-9deb-b9496e1316ad,Apply for an Australia Awards Masters Scholarship,,needs_review,2027-02,,,,,,Australia Awards
aaab442a-501b-460f-9815-11968bc47ff2,YTB&#x2013;IsDB Joint Scholarship Program Meeting,,needs_review,,,,,,,Türkiye Scholarships
9f39083c-8a1a-48c4-b252-e6e021472b50,Announcement,,needs_review,2026-08-20,,,,,,Türkiye Scholarships
25b4f2f6-ba87-4c62-97e9-1e181830ef6b,"Immersive Leadership Experience
						Schwarzman Scholars offers one-of-a-kind perspectives that you can’t get from a book. A year spent in China provides Scholars with a number of experiences that create lifelong friendships and a valuable set of cross-cultural leadership skills.

							Learn More",,needs_review,,,,,,,Schwarzman Scholars
8a36057d-44dd-4dbc-bf0d-0d3c1e33f43b,"Schwarzman Scholars, ",,needs_review,,,,,,,Schwarzman Scholars
18bbee5a-e53d-414d-81f3-4c002a826bc7,"3. Check Your Eligibility and ApplyFind out if you are eligible to apply for the Rhodes Scholarship, which constituency you should apply through, and start your application!",,needs_review,,,,,,,Rhodes Scholarship
30c3547a-f5c7-4b56-b5e8-42382eb47512,"2. The Selection CriteriaWhat makes a Rhodes Scholar? Learn about the selection criteria which determined the first Rhodes Scholars in 1902, and still guide us today.",,needs_review,,,,,,,Rhodes Scholarship
45ae79e0-e869-4b9d-878e-45a3250f616d,"1. The Rhodes ScholarshipFind out more about what the Rhodes Scholarship is, the costs covered, and what makes it special.",,needs_review,2027-10,,,,,,Rhodes Scholarship
e8ccccc1-fd8a-4e7e-89a6-e1d501882924,Frequently Asked Questions,,needs_review,,,,,,,Gates Cambridge Scholarship
38fab10f-4dcc-4116-be3d-a26f5fdec86b,Commonwealth Scholars from Small Island Developing States selected for 2026/27 Master&#8217;s Scholarships,,needs_review,,,,,,,Commonwealth Scholarships
76c8a5f4-2d3d-47ad-b6d9-bb0b6bd900cc,HSRC screens &quot;The Spirit of Kanju: Leaders Transforming Africa&quot; - A documentary film created by Alumni of the Mastercard Foundation Scholars Program   23 November 2023,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
854f4304-3a26-4a9e-95c7-3170e345a37e,RUFORUM and the Mastercard Foundation Extend Partnership to Transform African Agricultural Universities Program to Drive Africa’s Growth and Development   12 August 2024,,needs_review,2026-02-10,,,,,,Mastercard Foundation Scholars Program
